,MSE,MAE,R2,TrainTime(s),TrainableParams
BitFit,1.4830082507637101,0.9452174669331206,-0.020496487783189465,30.20450735092163,74497.0
LoRA,1.2904578748125102,0.9228125279259292,0.11200242601472188,36.5048725605011,9677569.0
iA3,0.9274042374898976,0.7411475250896599,0.361829061553562,39.35977268218994,44421889.0
